,ID,Area,City,Restaurant,price,avg_ratings,total_ratings,food_type,Address,delivery_time,Price_range,Rating_range,Delivery_range,primary_cuisine,num_of_cuisines,popularity_scores,Pop_bracket
8323,409017,Ameerpet,Hyderabad,Shree Sweets And Naamkeen,499.0,2.9,80,Sweets,Ameerpet,76,premium,below avg rated,slow ,Sweets,1,12.743902548550073,Medium Popularity
8324,409122,Sarthana,Surat,5 Hot Chillis Pizza & Mocktail Bar,200.0,2.9,80,"Italian,Fast Food",Sarthana,70,mid range,below avg rated,slow ,Italian,2,12.743902548550073,Medium Popularity
8325,409412,Tolichowki,Hyderabad,Bombay Kulfis,100.0,2.9,80,Desserts,Tolichowki,65,budget,below avg rated,slow ,Desserts,1,12.743902548550073,Medium Popularity
8326,409486,Rohini,Delhi,Aura Bakers,300.0,2.9,80,"Bakery,Indian,Chinese,Pastas,Snacks",Rohini,36,mid range,below avg rated,Fast Delivery,Bakery,5,12.743902548550073,Medium Popularity
8327,409880,Vadapalani,Chennai,Thaai Mann,300.0,2.9,80,"Desserts,Fast Food,Sweets",Vadapalani,79,mid range,below avg rated,slow ,Desserts,3,12.743902548550073,Medium Popularity
8328,410301,Kilpauk,Chennai,Ramas Cafe,250.0,4.6,20,"South Indian,Sweets",Kilpauk,46,mid range,High rated,Moderate,South Indian,2,14.004803213527746,Medium Popularity
8329,410891,Basavanagudi,Bangalore,Smoky And Snacky,180.0,2.9,80,"Chinese,Fast Food,Indian",Basavanagudi,49,budget,below avg rated,Moderate,Chinese,3,12.743902548550073,Medium Popularity
8330,411774,Indiranagar,Bangalore,Delhi Chaat House,225.0,3.6,20,"Chaat,Indian",Indiranagar,60,mid range,avg rated,slow ,Chaat,2,10.960280775804323,Medium Popularity
8331,411961,Malleshwaram,Bangalore,Cream And Fudge,200.0,2.9,80,"Beverages,Desserts",Malleshwaram,64,mid range,below avg rated,slow ,Beverages,2,12.743902548550073,Medium Popularity
8332,411982,Central Bangalore,Bangalore,Pure Punjabi Dhaba,200.0,2.9,80,"Indian,North Indian,Snacks",Central Bangalore,40,mid range,below avg rated,Fast Delivery,Indian,3,12.743902548550073,Medium Popularity
8333,411990, Akhbar Nagar Circle,Ahmedabad,Shiv Shakti Fast Food,200.0,2.9,80,"Gujarati,Fast Food",Naranpura,53,mid range,below avg rated,Moderate,Gujarati,2,12.743902548550073,Medium Popularity
8334,412378,South Kolkata,Kolkata,Truffle Square,300.0,2.9,80,Bakery,South Kolkata,59,mid range,below avg rated,slow ,Bakery,1,12.743902548550073,Medium Popularity
8335,412557,Narhe,Pune,Ganga Pure Veg,600.0,2.9,80,Indian,Narhe,74,premium,below avg rated,slow ,Indian,1,12.743902548550073,Medium Popularity
8336,412597,Indiranagar,Bangalore,Babaji Bites,250.0,2.9,80,"Chinese,Tandoor",Indiranagar,59,mid range,below avg rated,slow ,Chinese,2,12.743902548550073,Medium Popularity
8337,412721,T Nagar,Chennai,S3 Elite Family Dining,250.0,3.5,20,"Chinese,Thalis",T Nagar,71,mid range,avg rated,slow ,Chinese,2,10.65582853203198,Medium Popularity
8338,414109,Kurla,Mumbai,R S Mani Cafe,200.0,4.2,20,"South Indian,Beverages",Kurla,40,mid range,High rated,Fast Delivery,South Indian,2,12.786994238438377,Medium Popularity
8339,414486,Isanpur,Ahmedabad,Tgb Bakery,200.0,2.9,80,Bakery,Isanpur,53,mid range,below avg rated,Moderate,Bakery,1,12.743902548550073,Medium Popularity
8340,414605,Uppal,Hyderabad,Natural Fruits And Juices,200.0,3.8,20,Juices  Salads,Uppal,57,mid range,avg rated,slow ,Juices  Salads,1,11.569185263349008,Medium Popularity
8341,414675,Vastrapur,Ahmedabad,Mahakal Pakodi Center,200.0,4.1,20,Indian,Vastrapur,39,mid range,High rated,Fast Delivery,Indian,1,12.482541994666033,Medium Popularity
